Dataset,NRMSE
Prayas,73.47282108497684
GoiEner,97.9910735458717
Bareilly,58.232966098727374
NEEA,70.35339128379928
MFRED,24.942037528582013
Mathura,120.97394024258108
SGSC,83.86963583387703
Ireland,76.43028114149037
NEST,51.06042387872429
Smart-star,75.29266082586082
Enernoc,21.405667620181454
IBlend,19.419548252661066
