building_ID,CVRMSE,NRMSE,MAE,Avg_Test_Loss
eMARC-1H_H134,0.9824303584921712,98.24303816777329,0.064493395,0.5295029105431917
eMARC-1H_H010,0.001874030117898309,0.1874030117898309,1.4745738e-11,3.5119887797918636e-06
eMARC-1H_H042,0.7065525339732865,70.65525217277956,0.7587946,0.7403977953337282
eMARC-1H_H057,1.0870346499372956,108.70346717352061,0.26608178,0.6223689580101827
eMARC-1H_H004,2.804811392178992,280.48113183456394,0.06982636,0.2383593291330477
eMARC-1H_H052,1.17016270049158,117.01626672699817,0.099194564,0.44221711568617345
eMARC-1H_H084,1.2223783426356647,122.23783917260432,0.31610894,0.4713340205615407
eMARC-1H_H122,0.8600252791528837,86.00252347793177,0.5543375,0.34597592045841347
eMARC-1H_H066,1.5662634260422124,156.62635015190594,0.02544022,0.3751374919409293
eMARC-1H_H019,0.659330694169086,65.93306777559324,0.18143497,0.35220641741541553
eMARC-1H_H091,0.44565964769559274,44.56596477405042,0.25818935,0.5740490903318725
eMARC-1H_H069,0.5949243591078182,59.49243451580695,0.71811897,0.5581359809517595
eMARC-1H_H037,0.5410687880943844,54.10687919198497,0.454209,0.4592638496301222
eMARC-1H_H125,0.5787044318376751,57.87044271552458,0.1124209,0.28386947868561957
eMARC-1H_H089,0.6528008334637183,65.28008323746836,0.37484545,0.5551162601380146
eMARC-1H_H099,0.8402282436757679,84.02282181845737,0.28464356,0.6027222187621291
eMARC-1H_H018,0.9127405235101423,91.2740540880562,0.5417127,0.7652895037242459
eMARC-1H_H136,1.0212425813389308,102.12425539856412,0.5486868,0.5911477158937131
eMARC-1H_H115,0.7629039168574955,76.29038999717413,0.96972936,0.4178473672275753
eMARC-1H_H043,0.41460086321503165,41.46008702559077,0.19980498,0.4688387540955188
eMARC-1H_H090,1.1245708652610011,112.45708297286772,0.32137948,0.5989199209282121
eMARC-1H_H032,0.5199939132228169,51.99939247015718,0.13808462,0.2803913245686975
eMARC-1H_H133,0.5985360429081967,59.853603057566765,0.27294958,0.35821963756247727
eMARC-1H_H137,0.4314453089293681,43.144528860214386,0.18906762,0.3531222958905925
