building_ID,CVRMSE,NRMSE,MAE,Avg_Test_Loss
enernoc_10,0.10223076893832987,10.223077117453949,255.87265,0.25459348385204095
enernoc_56,0.14821464015780397,14.821463512362978,96.72802,0.07644104368564436
enernoc_136,0.3670036806091768,36.70036945460317,22.473497,0.23302853103301652
enernoc_304,0.05214766358998424,5.214766081575488,5.336231,0.126296265465843
enernoc_25,0.294050732493247,29.405072453810707,222.24348,0.16592929857033292
enernoc_761,0.7533778554285305,75.33778390819054,204.26634,0.6541856147341099
enernoc_49,0.18831057302814783,18.83105770425014,19.615692,0.13846642335404677
enernoc_731,0.9137062721379511,91.37062721954238,16.47539,0.36011244318108165
enernoc_703,0.1942494343298443,19.424944152972692,32.79488,0.18699170598334797
enernoc_45,0.1022307735083077,10.22307729348438,256.1841,0.25459348650332697
enernoc_737,0.21378476153368287,21.378475691993504,97.72801,0.43311029293089276
enernoc_765,0.3507602823762671,35.07602813179658,34.438046,0.5297229434869416
enernoc_401,0.06027342893414653,6.027342637140685,5.705362,0.10223498520724122
enernoc_716,0.1021956562468399,10.219565896309865,252.02542,0.25444660718944495
enernoc_427,0.04429156317139493,4.4291561262279435,5.177982,0.07502174355909436
enernoc_718,0.23906281145171807,23.906279971690495,296.2892,0.6789481533421489
enernoc_766,0.13345742281415243,13.345742098317716,387.43854,0.5737558482292635
enernoc_228,0.2759238353873228,27.592382893998625,9.720353,0.148429566369104
enernoc_808,0.33773203225269594,33.773203555949564,16.30954,0.1651987168214136
enernoc_21,0.2940507680063195,29.405078031922617,228.94846,0.16592927230392326
